,birthday,blood_type,bust,cup,height,hip,name,waist
136,1986-08-16,O,90,F,155,85,相戸愛,58
137,1989-03-30,AB,84,C,153,84,愛斗ゆうき,58
138,,,,,,,相奈さゆき,
139,,,85,,165,88,愛那梨華,59
140,1986-08-29,,88,E,153,86,愛菜りな,58
141,,,,,,,亜衣奈りん,
142,,,,,,,愛音くぅ,
143,1991-01-17,A,83,C,148,83,愛音まひろ,59
144,,,83,C,162,84,愛音麻友,60
145,1996-02-22,A,86,E,165,88,愛音まりあ,59
146,,,,,,,愛音ミク,
147,,,83,,143,85,愛音ゆう,55
148,,,,,,,愛音ゆり,
149,,O,95,H,163,92,愛乃,62
150,1983-03-15,O,87,F,152,85,逢乃うさぎ,58
151,1988-12-12,O,83,C,162,58,あいの詩,58
152,,,,,,,愛乃花菜,
153,1996-10-28,A,83,D,157,84,あいの美羽,59
154,,,86,F,161,90,愛野深雪,58
155,,,90,F,164,93,愛乃ゆな,60
156,,,,,,,藍野夢,
157,1987-02-14,B,87,,154,82,愛乃ララ,56
158,,,111,I,172,92,藍乃りこ,66
159,1985-04-06,O,84,C,153,83,愛原エレナ,58
160,1967-01-11,,,,,,相原久美,
161,1989-11-09,,87,F,165,89,愛原さえ,60
162,,,,,,,藍原佐理衣,
163,,,,,,,愛原純（相原純子、愛原順子）,
164,,,,,,,相原千恵子,
165,1982-12-06,B,78,,155,80,愛原千咲,56
166,1987-06-24,AB,85,,148,86,愛原つばさ,57
167,1997-01-25,,82,,158,88,相原翼,56
168,1980-10-10,B,86,D,159,87,相原夏海,58
169,,,90,,170,88,相原ひとみ,64
170,,,,,,,藍原妃美香,
171,,,,,,,藍原真里,
172,,,,,,,愛原ゆあ,
173,,,,,,,愛原唯,
174,,,88,F,157,89,相原結衣,59
175,1983-12-03,A,87,,168,88,藍原夕妃,62
176,,,,,,,愛原ゆずな,
177,,,,,,,相原由奈,
178,,,85,,,88,愛原莉央,58
179,,,,,,,相原りお,
180,1982-07-14,A,81,D,156,83,相原梨花,58
181,1976-04-28,B,83,C,160,88,相原リサ,58
182,1983-08-08,A,88,D,165,87,愛原理彩,60
183,1978-06-03,B,90,F,155,87,相原涼,60
184,1979-06-20,O,86,,,88,相原留美,60
185,1989-02-27,,86,,175,87,相原れな（三浦加奈、篠原リョウ）,59
186,1981-09-01,,88,E,160,88,愛葉亜希,60
187,1992-08-22,O,82,C,163,83,相庭ココ,57
188,,,,,,,愛羽なな,
189,1989-04-28,O,82,C,145,80,愛葉みう,55
190,,,,,,,相葉みりあ,
191,1986-11-12,,95,G,157,84,愛葉悠,58
192,,,,,,,愛葉ゆうき,
193,,,,,148,,相葉りな,
194,,,87,G,161,88,愛葉りり,59
195,1982-08-16,A,83,D,147,85,愛葉るび,58
196,,,,,,,愛葉るりか,
197,1992-02-07,A,82,B,150,85,相葉レイカ,59
198,1988-02-14,,88,E,165,90,愛武千春,59
199,1988-06-21,A,103,J,151,88,あいぶらん（蜜井とわ）,61
200,,,,,,,相武梨沙,
201,1989-02-17,O,82,,166,95,愛間みるく,59
202,,,,,,,愛川愛美,
203,,,,,,,愛心,
204,1988-08-28,A,103,J,155,88,愛実（秋川ルイ）,60
205,1984-02-22,A,85,D,158,88,愛みこ,58
206,,,,,,,あいみ沙希,
207,,,,,,,相美ゆな,
208,1991-12-21,,87,,160,85,愛実れい,54
209,1994-07-30,,83,F,161,80,あいむ咲羅,58
210,,,,,,,相本みき,
211,1973-02-01,O,80,,149,80,愛本美穂,58
212,1984-11-11,A,83,B,161,85,藍ゆうき,57
213,1985-06-12,,85,D,157,85,AIRA,58
214,1985-06-12,,85,D,157,85,AIRA,58
215,,,,,,,愛梨,
216,1985-03-31,,,,,,あいり＆めいり,
217,1988-11-28,A,86,D,151,87,愛里ひな,59
218,,,83,C,,83,愛璃みい,55
219,1991-07-14,A,85,D,152,85,あいりみく,56
220,1997-10-24,B,85,D,156,88,愛里るい,60
221,1988-10-10,AB,86,F,157,87,愛玲,60
222,,A,85,F,160,83,airu,56
223,,,,,,,愛流星奈,
224,,,,,,,あいあおい,
225,1994-12-03,,92,H,160,88,葵,58
226,1981-01-23,O,88,E,,90,葵あかね,61
227,1982-08-22,O,85,C,155,87,葵あげは,59
228,1995-01-13,A,78,B,143,82,青井いちご,57
229,,,,,,,葵うた,
230,,,,,,,藍井エミリ,
231,1991-03-03,B,87,G,158,88,葵えり,57
232,1993-08-11,,95,H,,86,蒼井楓,56
233,,,,,,,青井加奈,
234,,,,,,,蒼井梢,
235,,,,,,,葵こはる（えりか）,
236,,,93,F,162,88,蒼井さくら,57
237,,,,,,,あおい桜子,
238,,,,,,,碧衣咲南,
239,1990-09-08,A,80,B,163,85,碧しの（篠めぐみ）,58
240,,,,,,,葵紫穂,
241,,,,,,,蒼井朱里,
242,,,85,E,158,88,蒼すみれ,60
243,1983-11-11,B,90,G,155,83,蒼井そら,58
244,,,,,,,葵千恵,
245,1989-01-27,O,85,D,157,84,蒼井ちなつ,57
246,1990-11-11,A,78,C,145,75,葵ちひろ,52
247,1990-08-14,O,88,E,163,86,葵つかさ,58
248,1992-08-05,AB,88,E,157,86,葵なつ,58
249,,,,,,,蒼井ななせ,
250,,,,,,,蒼井なみ,
251,,,,G,,,あおい響,
252,1979-12-13,O,86,D,147,82,蒼吹雪,57
253,1989-12-17,O,92,G,152,86,葵ぶるま,61
254,,,,,,,青井ほのか,
255,1992-11-12,,95,G,172,88,蒼井まなみ,58
256,,O,88,D,170,90,青井マリ,63
257,,,,,,,葵まりあ,
258,,,,,,,葵みさき,
259,1980-03-28,B,82,B,157,86,葵みのり,54
260,,,,,,,葵ゆめ,
261,,A,88,D,159,88,葵ゆりあ,59
262,,,,,,,葵百合香,
263,,,,,,,蒼井りんご,
264,1979-12-08,O,88,D,154,86,藍井る加,60
265,1988-12-13,A,88,E,157,85,蒼井怜,60
266,,,80,C,158,85,あおいれな,57
267,,,87,F,167,89,青木亜樹,58
268,1981-03-08,O,83,,159,80,青木絵里,58
269,1984-07-07,B,,,,,青木桂,
270,,,,,,,青木かなみ,
271,1992-12-24,O,87,,,85,青木花恋,57
272,1982-02-16,B,90,,156,86,青木沙羅,59
273,1983-02-10,O,84,,,85,青木樹里,64
274,,,86,E,152,88,青木菜摘（しいのまお）,58
275,1985-06-12,O,85,E,156,86,青木のあ,57
276,1990-01-01,O,90,,162,88,青木春,57
277,,,,,,,青木麻衣,
278,,,87,C,,92,青木真紀,62
279,,,,,,,青木真奈美,
280,,,,,180,,青木まゆみ,
281,,,83,C,158,83,青木美空,54
282,1965-01-01,,87,D,160,89,青木美里,65
283,1979-08-08,,85,E,,90,青木みなみ（桐嶋みう）,59
284,1963-06-30,,85,,,86,青木祐子,59
285,,,,,,,,
286,,,83,C,,84,青木ゆめ,62
287,,,,,,,蒼木ゆり,
288,1983-01-16,A,85,C,163,86,青木らら,58
289,,,83,C,157,85,青木りかこ（明石翼）,59
290,1986-07-04,A,92,G,160,86,青木莉子（桜まい、片岡さき）,58
291,1975-11-13,,96,E,,88,青木理沙,60
292,1985-02-28,B,110,K,158,86,青木りん,59
293,,,,,,,碧木凛,
294,1984-10-08,B,84,C,165,86,蒼来るみ,58
295,1984-07-11,A,86,E,160,88,青木玲,59
296,,,,,,,青木レイ,
297,1983-03-08,A,88,,,87,青木怜奈,58
298,,,,,,,青島すみれ,
299,,,,,,,青島かえで,
300,1989-07-26,O,98,G,152,84,青空小夏,58
301,,,,,,,青空のん,
302,,,,,,,青田恵,
303,1986-03-21,O,88,E,158,88,蒼月ひかり,58
304,1987-01-12,O,96,G,158,85,蒼月りこ,60
305,1975-08-01,O,82,,161,87,青沼ちあさ,60
306,1992-09-22,A,76,C,163,83,蒼乃かな,57
307,1982-01-23,,89,F,160,87,青野セイラ,57
308,,,,,,,青野春奈,
309,,,,,,,葵野まりん,
310,,,94,G,150,88,蒼乃幸恵,63
311,,,,,,,青葉,
312,1995-02-11,O,86,E,158,87,あおば結衣,56
313,1991-07-15,A,90,G,165,88,青葉優香,60
314,1983-10-01,A,80,C,152,80,青葉ゆうな,58
315,,,,,,,青葉ゆな,
316,,,,,,,青葉涼,
317,,,96,H,,92,蒼星ユリ,57
318,,,88,D,,,青山愛,
319,1979-08-08,O,102,I,174,96,青山葵,64
320,1993-06-02,O,76,,160,82,青山亜美,57
321,,,,,,,青山彩香,
322,,,,,,,青山亜里沙,
323,,,,,151,82,青山いちか,58
324,,,,,,,青山えりか,
325,,,,,,,青山えりな,
326,,,,,,,青山香織,
327,1982-11-30,B,83,D,153,84,青山可奈,58
328,,,,,,,青山加代,
329,1983-02-04,AB,83,C,160,85,青山くるみ,58
330,1990-08-25,AB,90,G,177,87,青山沙希,59
331,1988-09-15,O,83,D,162,86,青山さつき（吉永なつき）,60
332,,,,,,,青山さやか,
333,,,,,,,青山小百合,
334,,,83,,158,81,青山ちえり,58
335,,,,,,,青山ちさ子,
336,,,,,,,青山ナオミ,
337,1984-08-05,A,99,I,155,87,青山菜々,58
338,,,88,F,,86,青山遥,56
339,,,,,,,青山はるき,
340,1989-02-02,,80,,152,80,青山ひかる,57
341,,,93,H,,,青山ひな,
342,1980-10-27,,,,,,青山ひろみ,
343,1985-12-19,O,76,,145,85,青山まりあ,55
344,,,,,,,青山麻里子,
345,,,,,,,青山茉利奈,
346,1991-03-19,,80,B,164,82,蒼山ミイナ,56
347,,,87,,,83,青山美緒,56
348,1993-06-19,B,85,D,152,90,青山未来,60
349,1982-05-28,AB,84,C,155,87,藍山みなみ,60
350,1986-01-23,AB,104,I,155,92,青山ゆい,59
351,1978-06-20,,83,,165,85,青山優花,56
352,,,88,E,,,青山優子,
353,1970-06-08,O,88,D,165,85,青山ゆかり,59
354,1983-12-14,,91,,158,86,青山雪菜,60
355,,,88,E,,85,青山葉子,58
356,1984-04-08,O,84,,160,82,青山梨子,56
357,1995-03-05,,89,,160,93,青山れん,61
358,1990-04-10,AB,80,B,150,85,青山ローラ,56
359,1986-03-03,,87,F,166,92,あおりんご,61
360,1992-09-22,AB,92,H,153,84,赤井美月,58
361,1988-02-07,B,90,G,163,86,紅りんご,60
362,,,,,,,あかぎ碧,
363,,,85,,162,82,赤坂エレナ,58
364,,,,,,,赤坂なつみ,
365,,,,,,,赤坂まゆか,
366,1980-06-02,,86,D,,86,赤坂美歩,57
367,1967-02-05,A,88,C,161,87,赤坂ルナ,58
368,,,,,,,明石洋子,
369,,,,,,,赤風心,
370,1984-06-04,B,88,E,161,86,紅月ルナ,59
371,,,,,,,赤西あずさ,
372,,,,,,,赤西ゆき,
373,,O,82,,150,84,あかね葵,58
374,1994-03-14,B,86,G,160,85,茜あずさ,58
375,,,,,,,あかね杏珠,
376,,,,,,,茜笑美,
377,1983-06-13,AB,80,B,160,83,茜しおん,57
378,1994-11-18,,86,E,,88,あかね志帆,56
379,,,,,,,茜祥子,
380,,,,,,,茜はるか,
381,,,,,,,茜はるか,
382,,,,,,,明音ひかる,
383,1983-10-25,O,83,E,157,83,紅音ほたる（秋月杏奈）,58
384,,,,,,,茜麻衣子,
385,,,,,,,茜みなと,
386,,,,,,,赤根京,
387,,,,,,,朱音ゆい,
388,,,,,,,あかねりこ,
389,,,82,C,153,85,茜梨乃,58
390,,,91,G,157,88,紅音レイラ,58
391,1979-12-23,A,85,D,158,88,赤羽ゆり,61
392,,,84,,,83,赤松恵,60
393,,,90,F,159,88,赤松由梨,59
394,,,,,,,相澤あかり,
395,,,,,,,朱莉さとみ,
396,1989-02-20,,85,F,160,85,明佐奈（土屋かなこ）,58
397,1998-03-31,O,80,B,155,83,明里つむぎ,58
398,1983-03-19,A,88,D,160,95,明里ともか,60
399,1983-09-01,O,83,F,156,84,明乃夕奈,57
400,,,88,G,,83,あかり美来,55
401,,,,,,,あかり優,
402,,,90,G,154,86,我妻里帆,55
403,,,,,,,秋川香織,
404,,,86,E,,88,秋川沙良,57
405,,,88,D,,90,秋川良枝,64
406,,,100,H,160,93,秋川りお（美月このみ）,65
407,,,,,,,秋草めい,
408,1981-06-22,,87,D,,84,秋瀬ルミ,59
409,,,,,,,秋津薫,
410,,,,,,,秋月めい,
411,,,,,,,秋月心音,
412,,,,,,,秋月小町,
413,,,,,,,秋月まひる（雨宮せつな、松本ルイ）,
414,1987-03-05,A,86,D,148,85,秋月まりん,55
415,,,,,,,秋月夕奈,
416,,,,,,,秋月玲奈,
417,1987-12-04,O,80,D,167,83,亜希菜,65
418,,,,,,,赤西あきな,
419,1986-11-10,A,85,E,157,88,秋菜楓,59
420,1985-08-02,,83,C,153,85,秋菜はるか,58
421,1979-06-02,A,81,C,158,83,秋菜里子,58
422,,,,,,,明菜りせ,
423,,,,,,,秋野早苗,
424,1978-08-15,A,83,B,,83,秋野しおり,54
425,1984-07-26,,92,,,85,あきのしほ,55
426,1973-02-07,B,90,G,153,85,秋野千尋,59
427,,,,,,,秋乃マロン,
428,,,88,E,162,85,秋原亜由,60
429,1992-11-01,,90,F,177,95,秋葉あかね,60
430,1986-12-01,A,88,E,156,88,秋葉りの,57
431,,,88,F,160,87,秋本絵梨,60
432,1984-02-23,O,78,C,148,82,秋本詩音,56
433,,,,,,,秋元志乃,
434,,,,,,,秋元夏希,
435,,,,,,,秋元なつみ,
436,,,,,,,秋元奈美,
437,1980-01-11,A,85,D,164,84,秋本那夜,60
438,1978-12-10,,96,H,161,97,秋本のり子,65
439,1994-08-27,O,86,B,159,90,秋元ひなの,61
440,1989-07-05,A,80,D,155,85,秋元まゆ花,59
441,1977-09-01,O,83,H,161,86,秋本美鈴,58
442,,,86,,,82,秋元みなみ,58
443,1990-02-16,O,78,B,159,85,秋元美由,58
444,,,,,,,秋本ゆいか,
445,1979-11-24,O,84,D,155,87,秋本優奈,59
446,,,94,,176,88,秋本由香里,59
447,1979-08-14,A,88,,162,89,秋本レナ,60
448,,,,,,,秋山彩,
449,,,,,,,秋山泉,
450,,,86,,,85,秋山かすみ,59
451,1977-12-20,,86,D,,86,秋山さおり,58
452,,,,,,,秋山しおり,
453,,,,,,,秋山静香,
454,1989-11-22,O,88,E,157,83,秋山祥子,58
455,,,,,,,秋山ちはる,
456,,,88,C,160,89,秋山真弓,58
457,1969-04-05,A,83,,159,86,秋山まり子,54
458,1971-05-16,,83,,155,84,秋山美冴,59
459,,,84,C,158,90,秋山美咲,62
460,1978-07-23,O,81,C,,84,秋山みほ,58
461,,,,,,,秋山百合,
462,,,103,,,,秋山美子,
463,,,85,,,87,秋山礼子,60
464,,,88,E,,89,秋吉あゆみ,59
465,,,,,,,秋吉恵里子,
466,,,,,,,秋吉花音,
467,,,,,,,秋吉くみ,
468,,,,,,,秋吉くるみ,
469,,,82,,,85,秋吉沙利奈,58
470,1990-08-18,O,96,G,175,89,秋吉ひな,60
471,1981-07-09,B,88,D,166,88,秋吉里香,58
472,1978-08-15,A,90,,157,86,Akira,58
473,,,,,,,逢坂あきら,
474,,,,,,,秋麗子,
475,,,,,,,あけみみゆ,
476,1982-08-22,O,85,C,155,87,葵あげは,59
477,1991-08-12,O,93,G,154,88,亜華羽,60
478,,,,,,,浅井千尋,
479,,,85,D,165,90,浅井舞香,67
480,,,,,,,浅井まどか,
481,,,,,,,浅井マリア,
482,,,,,,,浅井梨杏,
483,1970-07-29,O,81,,153,84,浅井理恵,57
484,1982-03-25,A,92,E,165,90,浅井リカ,64
485,1972-10-06,,80,B,,81,浅井りりか,58
486,,,,,,,朝丘舞,
487,1984-01-12,O,95,G,,89,朝丘まりん,59
488,1989-07-10,,86,E,157,93,朝丘未久,58
489,1979-06-05,O,85,C,154,87,朝丘南（緒川夕貴）,59
490,1996-04-16,,82,D,,86,麻丘みゆう,58
491,1970-04-18,O,83,,151,85,朝岡実嶺,58
492,1979-06-20,,88,E,,89,麻丘里絵,59
493,,,85,,,86,浅丘りな,58
494,1995-04-11,A,84,D,155,85,浅尾美羽,58
495,1987-05-03,A,85,D,167,88,浅尾リカ,58
496,,,80,,,,朝香えみ,51
497,1986-06-15,A,90,E,,87,麻香はな,58
498,1981-12-16,A,86,E,,87,朝香美穂,59
499,1994-11-25,,85,D,156,86,浅香結菜,60
500,,,,,,,浅香ゆき,
501,1993-04-10,A,94,F,149,87,浅香蘭,60
502,,,,,,,朝香涼,
503,1982-05-28,B,85,D,160,85,浅川千晶,58
504,,,,,,,麻川奈々,
505,1980-09-04,O,86,D,158,85,朝河蘭（清水優香）,58
506,1983-12-08,A,84,G,,88,麻川麗,57
507,,A,,,,,朝木めい,
508,,,100,I,158,85,麻季ゆず,59
509,1985-10-03,,87,F,163,86,麻木マキ,59
510,1989-11-27,O,86,F,167,89,麻木りあ,62
511,,A,88,F,164,85,朝桐光,58
512,,,88,F,155,85,朝霧一花,62
513,,,,,,,麻木莉恵,
514,,,,,,,朝霧のあ,
515,,,,,,,朝霧真央,
516,,A,83,,165,84,朝霧メイサ,56
517,,,105,H,154,100,朝霧ゆう,70
518,,,,,,,朝霧リエ,
519,1993-10-28,O,83,C,168,83,浅倉愛,60
520,,,,,,,朝倉・アヴィゲイル・日菜子,
521,,,,,,,浅倉あすか,
522,1973-11-13,A,95,F,159,95,浅倉彩音,62
523,,,,,,,浅倉かなこ,
524,1979-11-20,B,85,C,165,86,麻倉かほり,60
525,,,,,,,朝倉こずえ,
526,1987-03-11,,76,B,158,81,朝倉ことみ,57
527,1978-12-18,O,88,E,165,85,朝倉しほ（上野舞子）,60
528,,,100,,168,88,麻倉ジェシカ,60
529,,,,,162,80,朝倉ちひろ,56
530,,,88,E,152,83,浅倉つばさ,55
531,,,,,,,朝倉菜々子,
532,1972-11-11,AB,85,E,158,88,浅倉舞,60
533,,,,,,,浅倉まい,
534,,,,,,,浅倉まおみ,
535,1989-09-13,O,87,D,154,88,麻倉まみ,60
536,1978-10-04,B,99,G,153,86,朝倉まりあ,58
537,,,,,,,浅倉真凛,
538,1993-02-18,O,95,G,167,95,浅倉ミア,60
539,,,88,,156,90,麻倉みう,62
540,1983-11-05,AB,83,B,155,85,朝倉海音,55
541,,,,B,,85,朝倉みき,58
542,,,,,,,浅倉みらい,
543,1981-01-21,B,90,F,138,82,浅倉みるく,55
544,,,96,H,157,92,亜佐倉みんと,59
545,,,,,,,朝倉めぐみ,
546,1989-12-24,O,85,C,160,85,麻倉憂,56
547,,,83,,,85,浅倉由加里,58
548,1994-03-21,,86,,154,84,浅倉領花,58
549,,,84,,,88,朝倉麗,62
550,1986-04-25,A,103,K,160,87,浅田ちち,60
551,,,,,,,浅田初美,
552,,,,,,,朝田はな,
553,,,,,,,朝田ばなな,
554,1987-07-22,A,85,D,,85,浅田まほ,58
555,1990-08-05,,88,E,154,85,浅田まみ,59
556,,,78,B,,84,麻田みお,58
557,,,,,163,78,浅田もえ,54
558,,,88,F,150,89,浅田結梨,60
559,1989-05-10,A,84,C,155,84,麻田有希,58
560,,,,,,,浅田るみ,
561,,,82,D,,82,安里かおる,58
562,1979-07-15,B,85,,152,83,安里祐加,58
563,1990-06-03,,88,E,156,88,浅野えみ,60
564,1989-06-15,O,87,F,155,85,浅乃かこ,58
565,,,84,B,,88,浅野京子,60
566,,,94,G,,,あさのくるみ,
567,,,,,,,浅野さやか,
568,,,,,,,朝乃栞,
569,1988-06-10,A,86,C,,87,麻乃ちえみ,60
570,1986-04-06,B,91,G,158,83,浅乃ハルミ,58
571,,,84,,,88,浅野真弓,58
572,,AB,86,E,157,85,朝乃美咲,58
573,,,,,,,浅之美波,
574,,,,,,,浅野美幸,
575,1993-09-29,,84,D,160,85,浅野唯,58
576,,,84,C,,86,朝陽そら,56
577,1988-05-30,A,85,E,160,85,朝日奈あかり,59
578,,,,,,,朝比奈歩美,
579,,,,,,,朝比奈かれん,
580,,,,,,,朝比奈さなえ,
581,,,88,G,158,89,朝比奈しの,59
582,,,87,E,,88,朝日なな,59
583,1985-01-01,O,86,D,167,86,朝比奈ハル,64
584,,,,,,,朝比奈実和,
585,1982-12-20,B,85,E,149,83,朝比奈ゆい,59
586,1979-12-15,A,85,,156,86,朝比奈りり子,56
587,,,,,,,朝日奈るみな（芽森しずく）,
588,,,92,E,,89,あさひ瑞穂,59
589,,,,,,,朝日ゆな,
590,,,,I,166,95,あさひ蘭（川伊まな）,65
591,,,,,,,朝日るな,
592,1962-07-03,,85,,160,85,朝吹ケイト,58
593,,,,,,,麻吹まどか,
594,,,83,,150,82,朝吹摩耶,59
595,1970-07-12,A,85,,163,86,浅間夕子,59
596,1985-08-19,A,86,,160,84,亜紗美,58
597,,,,,,,麻美あゆな,
598,,,92,E,155,90,浅見香織,65
599,,,,,,,浅見きんぎょ,
600,,,,,,,浅見じゅん,
601,1989-08-10,O,83,C,160,82,浅見純,58
602,,A,88,F,152,,浅見せり,65
603,,,,,,,浅見ちか,
604,1982-11-08,AB,88,F,,84,朝美ほのか（瑞穂このみ）,56
605,1976-10-15,A,82,B,156,85,浅見まお（小泉リカ）,58
606,,,86,,,86,浅海まみ,57
607,,,89,F,163,80,麻見ももか,58
608,1975-10-25,B,88,D,160,88,麻宮淳子（成合淳）,59
609,1969-12-28,A,90,,157,88,麻宮千聖,58
610,1995-05-15,,88,F,158,89,麻宮まどか,58
611,,,85,,160,90,麻宮モナ,61
612,,,,,,,浅宮ゆかり,
613,,,,,,,朝宮涼子,
614,,,110,,158,88,浅美結花,61
615,1987-03-24,AB,96,H,158,88,麻美ゆま,58
616,,,,,,,浅見里奈,
617,1979-12-05,O,88,E,169,85,浅見怜,59
618,,,,,,,亜崎晶,
619,,,,,,,麻布美玲,
620,1967-03-20,A,88,C,160,86,麻布レオナ,58
